time,open,high,low,close,volume
2026-07-08T02:40:00.000Z,4120.150,4120.550,4118.090,4120.330,2124
2026-07-08T02:45:00.000Z,4120.320,4120.830,4116.050,4116.920,2150
2026-07-08T02:50:00.000Z,4116.970,4117.780,4114.610,4116.480,1988
2026-07-08T02:55:00.000Z,4116.470,4116.640,4113.560,4114.640,1677
2026-07-08T03:00:00.000Z,4114.640,4129.250,4114.640,4125.810,2928
2026-07-08T03:05:00.000Z,4125.770,4129.810,4122.420,4127.190,2464
2026-07-08T03:10:00.000Z,4127.180,4130.740,4126.130,4128.120,2183
2026-07-08T03:15:00.000Z,4128.240,4128.860,4124.810,4126.880,1778
2026-07-08T03:20:00.000Z,4126.830,4129.320,4126.120,4128.350,1731
2026-07-08T03:25:00.000Z,4128.360,4130.910,4127.300,4130.000,1979
2026-07-08T03:30:00.000Z,4129.900,4131.160,4126.750,4128.300,1736
2026-07-08T03:35:00.000Z,4128.330,4128.670,4125.960,4126.790,1632
2026-07-08T03:40:00.000Z,4126.840,4127.600,4125.670,4126.730,1519
2026-07-08T03:45:00.000Z,4126.780,4129.160,4126.020,4128.600,1418
2026-07-08T03:50:00.000Z,4128.590,4128.980,4126.930,4127.060,1517
2026-07-08T03:55:00.000Z,4127.080,4127.110,4122.860,4123.520,1506
2026-07-08T04:00:00.000Z,4123.460,4124.750,4121.750,4122.950,1538
2026-07-08T04:05:00.000Z,4122.970,4128.880,4122.650,4128.630,1288
2026-07-08T04:10:00.000Z,4128.620,4128.630,4124.260,4124.560,1474
2026-07-08T04:15:00.000Z,4124.560,4124.580,4120.670,4123.030,1722
2026-07-08T04:20:00.000Z,4123.040,4127.330,4121.870,4126.090,1444
2026-07-08T04:25:00.000Z,4126.080,4127.240,4124.870,4126.020,1451
2026-07-08T04:30:00.000Z,4125.990,4128.260,4124.580,4126.080,1729
2026-07-08T04:35:00.000Z,4126.060,4128.130,4124.920,4125.420,1672
2026-07-08T04:40:00.000Z,4125.470,4125.890,4122.160,4125.080,1664
2026-07-08T04:45:00.000Z,4125.030,4126.940,4124.580,4124.780,1418
